teamid,name,win_pct,rostered,payroll,ir,retained,buried,suspended,total_2018
ARI,Arizona Diamondbacks,0.506,35,109501628,14124025,5630585,15151500,0,143324597
ATL,Atlanta Braves,0.556,37,73767565,13299094,42392955,5180000,0,130849395
BAL,Baltimore Orioles,0.291,38,69637987,12650000,43550980,3726500,3000000,130413607
BOS,Boston Red Sox,0.667,36,167955780,18074000,41755860,2180000,0,227398860
CHC,Chicago Cubs,0.583,37,152092957,37451220,1216894,2725000,3200000,194259933
CHW,Chicago White Sox,0.383,32,57261542,5920130,7681442,4935000,0,71839808
CIN,Cincinnati Reds,0.414,30,82511299,1344890,15242487,4395000,0,100305768
CLE,Cleveland Indians,0.562,35,123970545,12836166,5222548,3277000,0,143104703
COL,Colorado Rockies,0.558,35,131213168,7545000,4442400,3277000,0,143968544
DET,Detroit Tigers,0.395,33,67047516,37720870,24401899,4187600,0,130959889
HOU,Houston Astros,0.636,36,158520510,556400,4027264,2189400,0,163524216
KCR,Kansas City Royals,0.358,30,83618228,7189167,37811905,4398500,0,129944821
ANA,Los Angeles Angels,0.494,37,91914083,57532566,24127380,1635000,0,173717599
LAD,Los Angeles Dodgers,0.564,40,160502596,3908850,30541679,5590000,0,199582045
FLA,Miami Marlins,0.391,31,43033514,15407490,31020460,6200000,0,91817860
MIL,Milwaukee Brewers,0.589,36,89888839,7321500,11383150,3275700,0,108982016
MIN,Minnesota Twins,0.481,35,56254373,29213890,29264527,2215000,0,115509520
NYM,New York Mets,0.475,33,82655203,49831436,15314261,5452000,1792000,150187987
NYY,New York Yankees,0.617,38,148010829,22568376,9249414,3130000,0,180098151
OAK,Oakland Athletics,0.599,35,61525657,4972604,10118631,6745000,0,80315288
PHI,Philadelphia Phillies,0.494,40,88497828,0,6936684,2045000,0,95778952
PIT,Pittsburgh Pirates,0.509,34,67576415,4670500,17492114,3302000,0,91025861
SDP,San Diego Padres,0.407,33,50169797,6764800,44479430,4274200,545000,103843635
SFG,San Francisco Giants,0.451,32,119689218,64341827,21136053,3283000,0,205665348
SEA,Seattle Mariners,0.549,38,136839663,13496812,9361340,4025600,0,160993827
STL,St. Louis Cardinals,0.543,36,113991329,27345600,20907798,2310900,0,163784311
TBD,Tampa Bay Rays,0.556,35,25668988,2213706,35944023,8225000,0,68810167
TEX,Texas Rangers,0.414,35,96239016,6683451,36936251,3325000,0,140625018
TOR,Toronto Blue Jays,0.451,37,81293347,20481474,48740616,5450000,0,150946147
WSN,Washington Nationals,0.506,35,130197979,8999485,41161720,4481000,0,181382609
,,,,,,,,,